date,id,question,question_norm,research_tokens,model,prompt_type,forecast,closure_date,end_date,volume_num,liquidity_num,yes_price,no_price,days_to_end,abs_diff,resolution,forecast_mean_prompt,forecast_mean_all,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,deepseek_deepseek_r1_free,Zero-shot,0.15,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.139,0,0.2,0.2,,,,
29/07/2025,537897,Will Trump eliminate daylight saving time before September?,will trump eliminate daylight saving time before september?,NA,deepseek_deepseek_r1_free,CoT,0.1,31/08/2025,NA,NA,NA,0.011,0.939,NA,0.089,0,0.2,0.2,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,openai_gpt_4o_mini,Zero-shot,0.7,31/08/2025,NA,NA,NA,0.75,0.21,NA,0.05,1,0.616666667,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,openai_gpt_4o_mini,CoT,0.7,31/08/2025,NA,NA,NA,0.75,0.21,NA,0.05,1,0.67,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,openai_gpt_3_5_turbo_0613,Zero-shot,0.6,31/08/2025,NA,NA,NA,0.75,0.21,NA,0.15,1,0.616666667,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,openai_gpt_3_5_turbo_0613,CoT,0.75,31/08/2025,NA,NA,NA,0.75,0.21,NA,0,1,0.67,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,google_gemma_3_12b_it,Zero-shot,0.6,31/08/2025,NA,NA,NA,0.75,0.21,NA,0.15,1,0.616666667,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,google_gemma_3_12b_it,CoT,0.35,31/08/2025,NA,NA,NA,0.75,0.21,NA,0.4,1,0.67,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,google_gemma_3_27b_it_free,Zero-shot,0.75,31/08/2025,NA,NA,NA,0.75,0.21,NA,0,1,0.616666667,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,google_gemma_3_27b_it_free,CoT,0.85,31/08/2025,NA,NA,NA,0.75,0.21,NA,0.1,1,0.67,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,deepseek_deepseek_chat_v3_0324_free,Zero-shot,0.4,31/08/2025,NA,NA,NA,0.75,0.21,NA,0.35,1,0.616666667,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,deepseek_deepseek_chat_v3_0324_free,CoT,NA,31/08/2025,NA,NA,NA,0.75,0.21,NA,NA,1,0.67,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,deepseek_deepseek_r1_free,Zero-shot,0.65,31/08/2025,NA,NA,NA,0.75,0.21,NA,0.1,1,0.616666667,0.640909091,,,,
29/07/2025,569188,Israel strikes Yemen by August 31?,israel strikes yemen by august 31?,NA,deepseek_deepseek_r1_free,CoT,0.7,31/08/2025,NA,NA,NA,0.75,0.21,NA,0.05,1,0.67,0.640909091,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,openai_gpt_4o_mini,Zero-shot,0.75,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.02,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,openai_gpt_4o_mini,CoT,0.75,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.02,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,openai_gpt_3_5_turbo_0613,Zero-shot,0.8,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.03,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,openai_gpt_3_5_turbo_0613,CoT,0.8,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.03,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,google_gemma_3_12b_it,Zero-shot,0.75,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.02,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,google_gemma_3_12b_it,CoT,0.75,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.02,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,google_gemma_3_27b_it_free,Zero-shot,0.75,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.02,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,google_gemma_3_27b_it_free,CoT,0.75,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.02,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,deepseek_deepseek_chat_v3_0324_free,Zero-shot,0.8,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.03,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,deepseek_deepseek_chat_v3_0324_free,CoT,0.8,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.03,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,deepseek_deepseek_r1_free,Zero-shot,0.75,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.02,1,0.766666667,0.766666667,,,,
29/07/2025,547945,Will Benjamin Sesko sign with a new club during the transfer window?,will benjamin sesko sign with a new club during the transfer window?,NA,deepseek_deepseek_r1_free,CoT,0.75,03/09/2025,NA,NA,NA,0.77,0.05,NA,0.02,1,0.766666667,0.766666667,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,openai_gpt_4o_mini,Zero-shot,0.4,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.394,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,openai_gpt_4o_mini,CoT,0.4,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.394,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,openai_gpt_3_5_turbo_0613,Zero-shot,0.7,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.694,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,openai_gpt_3_5_turbo_0613,CoT,0.7,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.694,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,google_gemma_3_12b_it,Zero-shot,0.3,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.294,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,google_gemma_3_12b_it,CoT,0.25,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.244,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,google_gemma_3_27b_it_free,Zero-shot,0.35,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.344,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,google_gemma_3_27b_it_free,CoT,0.35,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.344,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,deepseek_deepseek_chat_v3_0324_free,Zero-shot,0.3,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.294,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,deepseek_deepseek_chat_v3_0324_free,CoT,0.3,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.294,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,deepseek_deepseek_r1_free,Zero-shot,0.2,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.194,0,0.375,0.375,,,,
29/07/2025,542187,Will Erling Haaland sign with a new club during the transfer window?,will erling haaland sign with a new club during the transfer window?,NA,deepseek_deepseek_r1_free,CoT,0.25,03/09/2025,NA,NA,NA,0.006,0.985,NA,0.244,0,0.375,0.375,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,openai_gpt_4o_mini,Zero-shot,0.75,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.032,1,0.766666667,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,openai_gpt_4o_mini,CoT,0.75,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.032,1,0.74,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,openai_gpt_3_5_turbo_0613,Zero-shot,0.8,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.082,1,0.766666667,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,openai_gpt_3_5_turbo_0613,CoT,0.75,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.032,1,0.74,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,google_gemma_3_12b_it,Zero-shot,0.75,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.032,1,0.766666667,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,google_gemma_3_12b_it,CoT,0.75,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.032,1,0.74,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,google_gemma_3_27b_it_free,Zero-shot,0.85,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.132,1,0.766666667,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,google_gemma_3_27b_it_free,CoT,NA,03/09/2025,NA,NA,NA,0.718,0.08,NA,NA,1,0.74,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,deepseek_deepseek_chat_v3_0324_free,Zero-shot,0.7,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.018,1,0.766666667,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,deepseek_deepseek_chat_v3_0324_free,CoT,0.7,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.018,1,0.74,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,deepseek_deepseek_r1_free,Zero-shot,0.75,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.032,1,0.766666667,0.754545455,,,,
29/07/2025,542169,Will Christopher Nkunku sign with a new club during the transfer window?,will christopher nkunku sign with a new club during the transfer window?,NA,deepseek_deepseek_r1_free,CoT,0.75,03/09/2025,NA,NA,NA,0.718,0.08,NA,0.032,1,0.74,0.754545455,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,openai_gpt_4o_mini,Zero-shot,0.2,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.199,0,0.126,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,openai_gpt_4o_mini,CoT,0.25,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.249,0,0.156,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,openai_gpt_3_5_turbo_0613,Zero-shot,0.2,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.199,0,0.126,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,openai_gpt_3_5_turbo_0613,CoT,0.2,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.199,0,0.156,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,google_gemma_3_12b_it,Zero-shot,0.15,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.149,0,0.126,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,google_gemma_3_12b_it,CoT,0.15,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.149,0,0.156,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,google_gemma_3_27b_it_free,Zero-shot,0.05,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.049,0,0.126,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,google_gemma_3_27b_it_free,CoT,NA,07/09/2025,NA,NA,NA,0.001,0.997,NA,NA,0,0.156,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,deepseek_deepseek_chat_v3_0324_free,Zero-shot,NA,07/09/2025,NA,NA,NA,0.001,0.997,NA,NA,0,0.126,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,deepseek_deepseek_chat_v3_0324_free,CoT,0.15,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.149,0,0.156,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,deepseek_deepseek_r1_free,Zero-shot,0.03,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.029,0,0.126,0.141,,,,
29/07/2025,541829,Will Hubert Hurkacz win the 2025 US Open?,will hubert hurkacz win the 2025 us open?,NA,deepseek_deepseek_r1_free,CoT,0.03,07/09/2025,NA,NA,NA,0.001,0.997,NA,0.029,0,0.156,0.141,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,openai_gpt_4o_mini,Zero-shot,0.3,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.298,0,0.17,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,openai_gpt_4o_mini,CoT,0.25,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.248,0,0.143333333,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,openai_gpt_3_5_turbo_0613,Zero-shot,0.2,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.198,0,0.17,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,openai_gpt_3_5_turbo_0613,CoT,0.2,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.198,0,0.143333333,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,google_gemma_3_12b_it,Zero-shot,0.15,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.148,0,0.17,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,google_gemma_3_12b_it,CoT,0.15,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.148,0,0.143333333,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,google_gemma_3_27b_it_free,Zero-shot,0.15,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.148,0,0.17,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,google_gemma_3_27b_it_free,CoT,0.08,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.078,0,0.143333333,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,deepseek_deepseek_chat_v3_0324_free,Zero-shot,0.15,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.148,0,0.17,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,deepseek_deepseek_chat_v3_0324_free,CoT,0.15,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.148,0,0.143333333,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,deepseek_deepseek_r1_free,Zero-shot,0.07,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.068,0,0.17,0.156666667,,,,
29/07/2025,541823,Will Sebastian Korda win the 2025 US Open?,will sebastian korda win the 2025 us open?,NA,deepseek_deepseek_r1_free,CoT,0.03,07/09/2025,NA,NA,NA,0.002,0.997,NA,0.028,0,0.143333333,0.156666667,,,,
29/07/2025,567263,Will Andrej Karpathy join one of Elon Musk's companies by August 31?,will andrej karpathy join one of elon musk's companies by august 31?,NA,openai_gpt_4o_mini,Zero-shot,0.3,31/08/2025,NA,NA,NA,0.05,0.93,NA,0.25,0,0.31,0.295454545,,,,
29/07/2025,567263,Will Andrej Karpathy join one of Elon Musk's companies by August 31?,will andrej karpathy join one of elon musk's companies by august 31?,NA,openai_gpt_4o_mini,CoT,0.3,31/08/2025,NA,NA,NA,0.05,0.93,NA,0.25,0,0.283333333,0.295454545,,,,
